state,DEMOCRAT_votes_1976,DEMOCRAT_votes_1980,DEMOCRAT_votes_1984,DEMOCRAT_votes_1988,DEMOCRAT_votes_1992,DEMOCRAT_votes_1996,DEMOCRAT_votes_2000,DEMOCRAT_votes_2004,DEMOCRAT_votes_2008,DEMOCRAT_votes_2012,DEMOCRAT_votes_2016,DEMOCRAT_votes_2020,REPUBLICAN_votes_1976,REPUBLICAN_votes_1980,REPUBLICAN_votes_1984,REPUBLICAN_votes_1988,REPUBLICAN_votes_1992,REPUBLICAN_votes_1996,REPUBLICAN_votes_2000,REPUBLICAN_votes_2004,REPUBLICAN_votes_2008,REPUBLICAN_votes_2012,REPUBLICAN_votes_2016,REPUBLICAN_votes_2020
Georgia,0.6693829485931742,0.5579610534786652,0.3978530524412154,0.394984284444916,0.4346868533599755,0.4584146584952188,0.4321099965624139,0.41374946053378764,0.46990179096065066,0.45507959666882086,0.4563998335736082,0.49473055784446274,0.3306170514068258,0.409673065903476,0.6017229856601785,0.5975287234371753,0.4287785318635339,0.4701568011469838,0.5495956965137921,0.5797475676698846,0.5220451799292952,0.5332924217752452,0.50771326054771,0.492374738997912
Hawaii,0.5059199934088795,0.4480211812573569,0.43815915627996166,0.5426944007944456,0.48092757790163126,0.5692880151060757,0.5579166791230354,0.5400955215809311,0.7145291011787819,0.7014793244563191,0.6098079805512905,0.6314937976901742,0.48061283689379714,0.42900618885741887,0.5509965877217534,0.44751044543687457,0.3669704593366627,0.3164028657114295,0.3746286869719066,0.45264595711551864,0.2643620193657031,0.2768214768539593,0.29439707172625573,0.3395471416941482
Idaho,0.37118545633733413,0.25190715792890767,0.2639221294728854,0.36010641419377554,0.2841921205358069,0.3364638985094903,0.27638128843834414,0.3026491704212736,0.3609098763283785,0.3262233355920978,0.27492013820979205,0.33066402154803953,0.5988026937923104,0.6645596676961624,0.723646702858366,0.6207845112576045,0.4203258980241188,0.521841081448249,0.6717043948047806,0.6839094482399026,0.6151709147303861,0.6452978349589283,0.5926143236919689,0.6383756483190364
Illinois,0.48107590268914247,0.41716408184817594,0.43296553206747834,0.4860455526505115,0.48579677819917283,0.5431527783028726,0.545965212095549,0.5482316020902781,0.6191811452001323,0.5760213536247709,0.558253666987933,0.5754164537667581,0.5007684353529401,0.49646052894475273,0.5617459154097206,0.5068826878871361,0.3433746713220995,0.3680995298269166,0.42584879973210227,0.4447862682634849,0.36780922542147204,0.407327412708169,0.3876175307382527,0.40553450818173725
Indiana,0.45700385792947273,0.3765319243739945,0.3768271378985602,0.39686187674102574,0.3679390564346401,0.41557137645749265,0.4101210293083897,0.39262974665336575,0.4994591163968428,0.43927302904058396,0.37774839686752043,0.4096167705971215,0.5332274647107094,0.5600524167128673,0.6167431458678617,0.5984277566250626,0.42906780127769506,0.4714238015651173,0.566468816015263,0.5994476503665718,0.4891390717884854,0.5412553238022445,0.5694003344841128,0.5702115776570512
Iowa,0.48458496540694423,0.3860416298273987,0.4588708180375131,0.5471192398259158,0.43285838623305506,0.5026096469015254,0.4719191557860848,0.4923313168421695,0.5392802007386527,0.5198801653414908,0.41752513445496237,0.4464723285866375,0.49469437654722925,0.5130500181761469,0.5327211216808544,0.4449647278833303,0.37272138708865377,0.3992010210076373,0.4688563822317745,0.4990065750530225,0.4439325935530208,0.46177868510536096,0.5116206134467737,0.5280019763194579
Kansas,0.44936393675385894,0.33287575462214036,0.32598036577621525,0.4255964488985382,0.3373849413602757,0.3608479940426324,0.3723839226424526,0.3662309430556444,0.41651967194013617,0.3799457055391902,0.36052370732234496,0.41559553538832167,0.5248782423043394,0.578500604718334,0.66272207876586,0.5579299608073761,0.38881524598266903,0.542907009215303,0.580416632469577,0.620039806155473,0.5661225434349189,0.5971132036921613,0.5665458180583958,0.5621251283426474
Kentucky,0.5275424926872652,0.4765391582608266,0.39401246581394755,0.4388359469103233,0.4455114207247639,0.4584217848532593,0.4137818258591055,0.39687072981409693,0.4116811378392879,0.37801327834445797,0.3268218833364776,0.3615151481115404,0.45568748275702525,0.4903216743707873,0.6000693762346231,0.5552147911898297,0.4134088016611963,0.4488222146052302,0.565064833631888,0.5954951383220055,0.5739902114287592,0.6049314159932162,0.6251963855190009,0.6208657186929044
Louisiana,0.5177499622274604,0.45748231779727505,0.38175392630280136,0.4406455710040892,0.4558453914124838,0.5200999574541791,0.44875332454339917,0.4221586470321228,0.3993291380234511,0.4057746362330215,0.3844956609851397,0.39851456801526214,0.45988243150253294,0.5119834740095996,0.6077370692433072,0.5427471529945301,0.40970895807134794,0.3994407943231879,0.5255106317425365,0.5672202134108999,0.5856272131075638,0.5778457572847425,0.580886846535688,0.5846088241400853
Maine,0.480940766261947,0.42250354199051265,0.3878104074165136,0.4388353887592674,0.3876679730212995,0.5162395588689167,0.4908601647394898,0.5357285569259347,0.5770573729797597,0.5537103419348252,0.4634521409730895,0.5252557934577239,0.489307780225605,0.45605541757247936,0.6083406852465181,0.5533542929725153,0.30390626034769735,0.3076067384390416,0.43971850994987854,0.44576457437846945,0.40384018337908234,0.40327392039825705,0.43476678084498865,0.43551228110418266
